lat,lon,corine,class,id
47.00524943639325,16.388738800703717,4,4,0
46.74640162728279,13.642136311864494,4,4,1
47.854402958217364,16.07876543140027,4,4,2
46.97328336061581,12.398272393688298,4,4,3
47.391232960463554,12.984449255679355,1,4,4
48.343237096937315,15.257977973487517,3,3,5
47.441358306251054,11.982483714130387,4,4,6
47.62660309460767,15.96458524087929,3,4,7
47.16951598828573,9.606776448525512,5,4,8
48.13547154995338,15.284714451514525,1,3,9
47.74641496551435,14.07484583003653,4,4,10
47.34933165620123,14.67940248414088,5,5,11
47.31106685020948,10.088357694866408,5,5,12
46.712143675768075,13.173103606332988,4,4,13
47.712185167047714,14.023171739437558,6,6,14
48.798668689886775,15.553919682246958,3,3,15
47.8620237857096,15.736733056250873,4,4,16
47.2955990472994,12.37562361746253,4,4,17
48.051495034013634,16.48444270121967,3,3,18
47.04579908151164,13.660710849645925,4,4,19
47.21638825103206,15.132515581438415,4,4,20
46.97925240258257,10.17600330842005,5,5,21
47.200017903885694,9.841459084596659,4,4,22
47.73706397045069,13.118701165128979,4,4,23
47.07934691322057,13.913817432939743,4,4,24
48.776629110883526,15.500696184279768,3,3,25
47.259909018378124,14.423340082733558,5,4,26
47.08057681520229,13.104530501796694,4,4,27
46.94123991908212,10.481178944565341,4,4,28
48.49128930605819,16.82332172182788,3,3,29
46.91592150414656,9.977889232755716,5,5,30
48.31670430344368,14.687209484769493,4,3,31
47.283770982867864,10.835250410893625,4,4,32
47.43448266297032,11.4903252421554,4,5,33
47.32630129353184,14.678816851690577,4,4,34
47.55431265244409,15.569503072456746,3,3,35
47.741519185304284,16.841758964336908,1,1,36
46.96176695400688,12.398475438288648,5,5,37
47.35893775940489,15.544280336931452,5,5,38
47.068263716132506,12.851735984587323,5,5,39
47.03658967157762,15.530877398166878,4,4,40
47.18324424845742,13.864270630725754,4,4,41
47.58607507638396,13.919386169963145,4,4,42
46.756604613946116,15.066759512410803,4,4,43
47.3027711924698,11.9521658703628,5,5,44
47.31572980282957,15.389999945015198,4,4,45
46.84929240459414,12.820150811589706,4,4,46
47.618272827340114,15.214409464949735,5,5,47
47.49382047979951,9.651841632910578,2,2,48
47.17310760790917,10.536283808623619,6,6,49
46.700613529708384,13.507947803784576,4,4,50
47.58327375265085,14.327890184692846,3,3,51
47.15773441896267,15.19808487366353,4,4,52
47.092263940638055,13.45862360280569,4,4,53
47.04507313621314,15.68293319561204,3,3,54
47.37744934599479,14.137504577700753,5,5,55
47.89360498269215,16.3549732983145,3,3,56
48.03633926813677,13.615367419843073,4,3,57
46.87442477485291,14.885800968095149,4,4,58
47.93127431306133,15.088555946148645,1,4,59
46.67934737162712,14.829936654588344,4,4,60
48.47279405588248,13.91207638494364,3,3,61
48.324531578026246,13.37521037467402,3,3,62
48.230746673786875,13.961093933466744,3,3,63
47.419936650552486,14.545433242659561,4,4,64
47.052996187858696,9.93548074669978,4,4,65
47.33772213331167,11.985139956566485,5,5,66
46.82183040090895,10.78976825511883,6,6,67
47.84489411685149,15.992681933864102,4,3,68
48.45740437834769,14.448526548715671,4,4,69
47.41476580229199,13.238800010038089,3,3,70
47.777137163762916,15.356826005086441,4,4,71
48.599695298549435,15.059199413673662,3,3,72
46.7352764170087,15.619044338532602,3,3,73
46.71225210246822,15.618060584276465,3,3,74
47.50691138134278,16.58794788557767,3,3,75
47.85107095474583,16.215549364131807,3,3,76
46.58013793152008,14.442955469069137,4,4,77
47.17491662212982,9.77548498983856,3,3,78
47.49172217997345,16.29791607718031,4,4,79
47.44919804961635,13.52736576231181,3,4,80
47.006466652057675,9.921606585884769,5,5,81
48.08035739629189,16.262626150770622,1,1,82
47.103758547206986,9.712721262840308,5,5,83
47.621832431393194,13.085110062609036,4,4,84
48.09468705344361,14.939323408806827,3,3,85
47.53740194081253,15.228533651045868,1,3,86
46.67275294079742,15.264881194603058,4,4,87
48.51136543010554,14.778954832593584,4,3,88
47.63422625524126,15.606992383039929,4,4,89
47.49541096072008,15.635005231845431,3,4,90
48.15142322846119,13.030930539831239,4,3,91
47.82939054183942,13.374840896774476,2,2,92
47.47503147909777,15.498168205422727,4,3,93
48.43727458187773,14.084712872914514,4,3,94
47.9277761803273,15.894038934187664,4,4,95
48.525330014872395,15.38612357718483,3,3,96
48.49050900844776,15.973904683638601,3,3,97
46.979990231535915,15.478036282930654,4,4,98
48.02127647435195,14.284724945051357,3,3,99
47.34570385925172,13.35754174509221,4,4,100
47.038613993622455,14.654694891982516,3,4,101
46.69151553525796,14.780055157353981,4,3,102
47.019415982599746,14.266839359753014,4,4,103
47.04714814019557,14.89084137269197,4,4,104
47.05695707720507,16.172459622835454,4,3,105
47.64016466602086,15.283372661609587,5,5,106
47.31037545123809,11.003408842397313,3,3,107
47.44255769611287,16.414074559881243,3,4,108
47.04804989138721,14.823455378934673,4,4,109
47.377987583904265,11.56014087565545,6,6,110
48.01348411131534,13.529434989899412,4,4,111
46.901446357860834,15.928781786485366,3,3,112
48.39401059307367,16.159270624441824,3,3,113
48.211191307276074,14.839535832746817,3,3,114
48.90990737428166,15.104569120745566,3,3,115
47.851264985415426,13.853907494970665,5,4,116
48.23210931792235,13.064924769741967,3,3,117
